Time,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
0,15240,14819,15169,15177,15260,15643,15415,15119,15070,14959,15225,15033,15005,15524,15645,14964,15209,15385,15177,15139,14838,14930,14970,15199,15811,15613,15559,15013,15194,14908,14818,15011,14909,15116,15273,15229,14935,14948,14769,14856,14967,14584,14834,14858,15004,15275,14996,14681,14725,14814,14609,15043,14720,15052,15491,14937,14879,14634,14548,14525
10,14671,14824,14571,15016,15041,14855,14871,14707,14650,14363,14816,14702,14623,15035,14979,14895,15053,14950,14949,14494,14627,14524,14597,14804,15077,15083,14853,14619,14553,14479,14460,14631,14665,14867,15065,14981,14694,14885,14760,14487,14453,14534,14517,14953,14444,14926,14534,14606,14375,14023,14282,14565,14436,14690,14908,14623,14354,14383,14425,14309
20,14344,14597,14898,14807,14673,14871,14613,14712,14602,14506,14677,14720,14677,14721,14905,14753,14665,14898,14763,14466,14526,14538,14395,14715,15096,14803,14589,14531,14628,14559,14435,14328,14304,14442,15105,14382,14192,14843,14495,14434,14637,14146,14335,14754,14580,14630,14741,14419,14282,14155,14143,14367,14429,14516,14775,14347,14517,14513,14155,13983
30,14161,14636,14420,14370,14622,15005,14823,14400,14397,14386,14530,14409,14506,14769,14492,14627,14691,14362,14600,14363,14456,14489,14500,14612,14634,14856,14486,14766,14423,14356,14315,14363,14365,14718,14898,14434,14481,14409,14373,14338,14220,14377,14453,14389,14540,14763,14427,14350,14341,14154,14070,14359,14203,14468,14372,14242,14162,14126,14050,14114
40,14554,14230,14333,14342,14668,14597,14761,14603,14416,14214,14364,14215,14186,14654,14861,14433,14540,14520,14472,14306,14229,14287,14099,14570,14998,14760,14677,14500,14464,14273,14122,14342,14232,14332,14614,14299,14408,14420,14581,14158,14200,14301,14004,14456,14314,14459,14306,14168,14112,13952,13912,14158,13861,14390,14407,14483,14344,14159,14109,13898
50,14245,14344,14257,14780,14684,14490,14551,14787,14344,14209,14551,14164,14252,14776,14690,14529,14560,14552,14216,14181,14491,14174,14592,14364,14901,14971,14935,14385,14001,14144,14167,14131,14036,14494,14468,14289,14408,14531,14345,14254,14205,14042,14150,14576,14147,14653,14171,14073,14211,13806,13850,14338,14199,14379,14559,14565,14231,14329,14230,13979
60,14214,14239,14313,14409,14591,14750,14485,14532,14617,14244,14332,14406,14460,14433,14855,14608,14662,14538,14081,14319,14317,14349,14620,14393,14754,14493,14685,14390,14230,14120,14157,14059,14081,14400,14463,14379,14372,14402,14241,14336,14205,14200,14206,14424,14181,14332,14018,13819,14028,13916,14200,14178,14176,14148,14535,14229,14290,14214,13930,14225
70,14120,14366,14561,14677,14636,14515,14668,14524,14291,14066,14472,14424,14367,14304,14871,14235,14695,14473,14452,14179,14351,14382,14165,14180,14783,14722,14596,14476,14384,14284,14099,14210,14167,14356,14505,14415,14493,14336,14413,14055,14035,14264,14081,14421,14276,14566,14409,14061,14228,13863,13790,14196,14059,14330,14439,14007,14135,14035,13881,14086
80,14287,14625,14330,14424,14678,14635,14745,14352,14342,14595,14357,14382,14375,14532,14776,14371,14773,14337,14163,14270,14372,14455,14160,14454,15020,14566,14564,14222,14209,14073,13918,14389,13970,14209,14368,14196,14469,14406,14305,14306,14387,14200,14224,14394,14279,14538,14226,14127,14193,14179,13809,14373,14088,14276,14662,14274,14272,14135,14225,13926
90,14268,14096,14518,14569,14679,14521,14228,14695,14260,14266,14611,14351,14208,14808,14715,14505,14659,14449,14498,14211,14374,14164,14345,14312,14844,14627,14767,14266,14342,14133,14205,14118,14301,14190,14404,13999,14542,14527,14372,14502,13914,13945,14195,14267,14439,14434,14444,14167,13997,14062,13995,14441,14120,14472,14810,14017,13857,14218,14047,14056
100,14115,14383,14544,14577,14587,14753,14509,14397,14457,14413,14462,14696,14233,14757,14669,14448,14651,14700,14366,14298,14310,14413,14326,14387,14687,14502,14516,14441,14458,14120,14160,14348,14056,14400,14250,14297,14263,14460,14286,14083,14238,13955,14056,14535,14236,14563,14259,14306,14254,13919,13950,14312,14331,14465,14629,14079,14158,14277,14077,14069
110,14184,14505,14565,14721,14625,14447,14354,14824,14542,14263,14399,14499,14186,14674,14710,14355,14637,14789,14224,14287,14202,14217,14312,14354,14816,14434,14447,14473,14124,14586,14014,14405,14210,14661,14481,14172,14491,14481,14416,14097,14210,14317,14174,14494,14488,14501,14500,14217,14165,14039,14043,14390,14159,14500,14536,14488,14304,14192,14008,14285
120,14572,14473,14424,14758,14562,14582,14596,14580,14467,14480,14525,14566,14295,14744,14867,14344,14717,14486,14459,14283,14546,14667,14363,14532,14858,14591,14519,14469,14015,14275,14168,14487,14284,14467,14720,14438,14342,14527,14205,14229,14024,14018,13956,14581,14104,14371,14469,14355,14142,14184,13980,14269,14098,14383,14592,14519,14122,14399,14037,14322
130,14326,14477,14634,14854,14783,14804,14430,14629,14504,14574,14538,14519,14388,14851,15045,14552,14772,14629,14260,14449,14375,14553,14161,14776,15005,14637,14906,14594,14076,14266,14163,14847,14328,14524,14688,14151,14384,14673,14650,14284,14366,14142,14277,14600,14314,14521,14433,14092,14365,13848,14079,14263,14287,14629,14582,14405,14173,14359,14053,14373
140,14327,14373,14565,14564,14599,14647,14503,14541,14267,14364,14536,14758,14033,14841,14808,14391,14591,14582,14509,14394,14386,14456,14066,14843,15042,14653,14851,14441,14231,14227,14053,14432,14090,14359,14502,14199,14333,14595,14276,14220,14207,14250,14235,14653,14163,14244,14284,14483,14397,14028,14070,14551,13930,14624,14576,14225,14298,14243,14202,13960
150,13977,14456,14483,14654,14817,14596,14497,14260,14248,14278,14387,14713,14307,14647,14786,14298,14578,14665,14221,14482,14467,14937,14264,14818,15069,14425,14532,14443,14268,14424,14017,14621,14318,14534,14673,14162,14388,14638,14342,14382,14126,14310,14019,14597,14384,14561,14491,14245,14202,13942,13817,14426,14136,14269,14313,14003,14176,14002,13818,14190
160,14197,14991,14512,14705,14550,14689,14423,14567,14500,14460,14467,14973,14470,14985,14780,14454,14971,14689,14172,14388,14461,14838,14183,14718,14852,14587,14802,14436,14512,14110,14089,14812,14132,14501,14646,14188,14593,14575,14545,14214,14176,14474,14237,14729,14187,14563,14248,14446,14334,13882,14044,14055,14360,14527,14520,14248,14332,14222,14127,14120
170,14291,14913,14473,14850,14702,14493,14684,14741,14464,14571,14410,15095,14316,15137,14908,14284,14509,14696,14322,14323,14271,15055,14455,14837,14557,14563,14715,14552,14493,14601,14245,14773,14171,14543,14547,14320,14342,14587,14603,14415,14280,14430,14277,14541,14162,14241,14264,14272,14279,13986,14242,14597,14087,14465,14660,14195,14445,14449,14253,14009
180,14212,15124,14314,15048,14678,14892,14926,14353,14385,14112,14470,15228,14055,14967,14787,14532,14753,14609,14084,14199,14335,15211,14421,14961,14948,14569,14510,14785,14530,14275,14070,15223,14189,14765,14430,14350,14411,14783,14334,14149,14197,14529,14192,14816,14358,14367,14375,14140,14496,14252,14106,14625,14156,14826,14492,14198,14327,14401,14081,14140
190,14312,15512,14362,15105,14814,14665,14672,14678,14505,14388,14419,15393,14302,15068,14662,14385,14703,14788,14478,14474,14203,15255,14496,14868,15008,14268,14469,14347,14413,14595,14115,15117,14288,14743,14397,14295,14419,14568,14597,14419,14122,14758,14311,15092,14179,14529,14202,14311,14329,14033,14182,14772,14318,15020,14458,14113,14228,14322,14043,14267
200,14257,15662,14492,15328,14671,14582,14802,14598,14373,14259,14539,15543,14187,15203,14955,14175,14822,14873,14400,14335,14492,15478,14399,15319,14914,14553,14791,14868,14479,14780,14161,15449,14372,15213,14318,14154,14334,14507,14630,14452,14320,15074,14161,15217,14498,14149,14639,13995,14487,14085,14018,14950,14266,15003,14599,14225,14275,14376,14241,14386
210,14225,15733,14563,15501,14761,14507,14667,14419,14492,14480,14549,15691,14423,15274,14864,14432,14782,14549,14465,14523,14535,15495,14387,15324,14923,14634,14488,14470,14546,14425,14040,15724,14520,15232,14246,14285,14663,14688,14571,14407,14267,14910,14305,15092,14212,14489,14372,14318,14194,14161,13944,15057,14256,15221,14471,14224,14495,14328,14100,14264
220,14196,15760,14739,15364,14846,14707,14706,14870,14584,14348,14585,16250,14474,15598,14797,14258,14761,14889,14518,14457,14320,15877,14676,15251,14669,14497,14687,14554,14451,14674,14116,15808,14353,15483,14413,14216,14606,14616,14378,14595,14146,15226,14375,15569,14311,14241,14510,14537,14382,14294,13914,15054,14545,15549,14523,14243,14236,14392,14179,14120
230,14297,16376,14627,15863,14802,14718,14702,14739,14455,14661,14471,16363,14398,15777,14723,14367,15057,14764,14531,14566,14373,15870,14354,15914,14928,14495,14854,14497,14719,14479,14305,16233,14450,15427,14501,14375,14656,14718,14324,14601,14241,15474,14452,15775,14253,14450,14546,14175,14252,14265,14097,15558,14133,15534,14304,14181,14083,14382,14255,14224
240,14502,16759,14655,16098,14521,14730,14758,14707,14687,14454,14540,16835,14462,16131,14739,14353,14938,14794,14326,14633,14330,16451,14477,16008,14666,14725,14956,14885,14664,14562,14248,16012,14513,16026,14545,14350,14540,14796,14610,14722,14443,15578,14381,16043,14309,14273,14394,14617,14442,14256,14086,15593,14343,15910,14629,14141,14523,14464,14315,14488
250,14293,17345,14545,15962,14474,14632,14881,14834,14286,14707,14846,17431,14766,16003,14628,14230,15132,14956,14396,14476,14481,16359,14380,16190,14975,14653,14886,14291,14742,14734,14181,16376,14628,16025,14712,14220,14704,14683,14490,14596,14353,15733,14337,16303,14427,14461,14622,14501,14544,14752,14151,15921,14490,15940,14419,14354,14469,14554,14266,14421
260,14387,18202,14716,16610,14570,14393,14749,15117,14633,14778,14973,18197,14675,16547,14693,14398,14862,14877,14552,14842,14552,16909,14833,16442,14781,14538,14968,14732,14973,14789,14261,16724,14707,16232,14366,14246,14765,14774,14714,14697,14541,16381,14485,16686,14361,14309,14718,14406,14486,14421,14114,15954,14623,16484,14277,14129,14372,14680,14798,14704
